focus,pd
116,1.299
97,1.359
123,1.276
105,1.33
82,1.414
114,1.305
107,1.324
93,1.374
103,1.337
95,1.366
84,1.408
134,1.235
101,1.344
124,1.272
135,1.232
127,1.261
90,1.385
104,1.333
122,1.279
87,1.397
92,1.377
120,1.285
115,1.302
94,1.37
106,1.327
100,1.348
118,1.292
119,1.289
85,1.404
109,1.319
83,1.411
133,1.239
126,1.265
91,1.381
110,1.316
86,1.401
112,1.31
108,1.321
129,1.254
117,1.295
132,1.243
80,1.42
113,1.308
121,1.282
130,1.25
128,1.258
96,1.362
102,1.34
125,1.269
111,1.313
81,1.417
99,1.351
98,1.355
131,1.246
89,1.389
88,1.393
