focus,pd
93,1.333
135,1.202
96,1.323
83,1.37
80,1.381
134,1.204
108,1.282
78,1.381
115,1.259
107,1.285
120,1.244
118,1.25
86,1.359
97,1.319
113,1.266
132,1.209
130,1.214
75,1.381
128,1.22
92,1.337
101,1.305
90,1.344
124,1.232
82,1.374
103,1.299
87,1.355
112,1.269
111,1.272
79,1.381
94,1.33
131,1.211
117,1.253
84,1.366
106,1.289
123,1.235
98,1.316
116,1.256
129,1.217
109,1.279
127,1.222
102,1.302
88,1.351
121,1.241
110,1.276
91,1.34
125,1.229
126,1.225
99,1.312
104,1.295
81,1.377
122,1.238
100,1.309
85,1.362
95,1.326
133,1.207
76,1.381
105,1.292
114,1.263
89,1.348
77,1.381
119,1.247
