focus,pd
80,1.381
81,1.377
82,1.374
83,1.37
84,1.366
85,1.362
86,1.359
87,1.355
88,1.351
89,1.348
90,1.344
91,1.34
92,1.337
93,1.333
94,1.33
95,1.326
96,1.323
97,1.319
98,0.0
99,1.312
100,1.309
101,0.0
102,1.302
103,1.299
104,1.295
105,1.292
106,1.289
107,1.285
108,1.282
109,1.279
110,1.276
111,1.272
112,1.269
113,1.266
114,1.263
115,1.259
116,1.256
117,1.253
118,1.25
119,1.247
120,1.244
121,1.241
122,1.238
123,1.235
124,1.232
125,1.229
126,1.225
127,1.222
128,1.22
129,1.217
130,1.214
131,1.211
132,1.209
133,1.207
134,1.204
135,1.202
