focus,pd
75,1.42
76,1.42
77,1.42
78,1.42
79,1.42
80,1.42
81,1.417
82,1.414
83,1.411
84,1.408
85,1.404
86,1.401
87,1.397
88,1.393
89,1.389
90,1.385
91,1.381
92,1.377
93,1.374
94,1.37
95,1.366
96,1.362
97,1.359
98,1.355
99,1.351
100,1.348
101,1.344
102,1.34
103,1.337
104,1.333
105,1.33
106,1.327
107,1.324
108,1.321
109,1.319
110,1.316
111,1.313
112,1.31
113,1.308
114,1.305
115,1.302
116,1.299
117,1.295
118,1.292
119,1.289
120,1.285
121,1.282
122,1.279
123,1.276
124,1.272
125,1.269
126,1.265
127,1.261
128,1.258
129,1.254
130,1.25
131,1.246
132,1.243
133,1.239
134,1.235
135,1.232
136,1.232
137,1.232
138,1.232
139,1.232
140,1.232
